transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,revenue,country,channel
T000001,C0001,P018,2024-10-18,4,7.3,29.21,United Kingdom,In-Store
T000002,C0001,P018,2024-07-26,3,7.44,22.32,United Kingdom,Partner
T000003,C0001,P004,2024-09-24,6,6.61,39.68,United Kingdom,In-Store
T000004,C0001,P012,2024-12-16,4,8.95,35.78,United Kingdom,Mobile
T000005,C0001,P007,2024-09-18,8,14.51,116.04,United Kingdom,Mobile
T000006,C0001,P020,2024-12-24,5,13.88,69.42,United Kingdom,Online
T000007,C0001,P019,2024-07-14,8,16.04,128.33,United Kingdom,In-Store
T000008,C0001,P010,2024-10-10,7,6.03,42.23,United Kingdom,Online
T000009,C0001,P005,2024-11-15,9,10.41,93.68,United Kingdom,Mobile
T000010,C0001,P005,2024-08-03,6,9.64,57.82,United Kingdom,Partner
T000011,C0001,P016,2024-09-15,5,11.09,55.43,United Kingdom,Partner
T000012,C0001,P015,2024-06-24,4,25.32,101.3,United Kingdom,Partner
T000013,C0001,P017,2024-09-25,7,32.62,228.36,United Kingdom,Partner
T000014,C0001,P011,2024-06-24,3,16.59,49.77,United Kingdom,Partner
T000015,C0001,P012,2024-09-18,4,9.27,37.06,United Kingdom,Mobile
T000016,C0001,P016,2024-10-19,7,10.81,75.64,United Kingdom,Mobile
T000017,C0001,P019,2024-12-13,10,16.45,164.51,United Kingdom,Online
T000018,C0001,P002,2024-06-05,4,19.23,76.92,United Kingdom,Online
T000019,C0001,P006,2024-09-18,10,12.45,124.46,United Kingdom,Mobile
T000020,C0001,P005,2024-08-10,7,9.65,67.55,United Kingdom,Online
T000021,C0001,P012,2024-11-14,7,8.62,60.37,United Kingdom,Mobile
T000022,C0001,P002,2024-12-11,9,19.23,173.06,United Kingdom,Mobile
T000023,C0001,P014,2024-10-01,-4,5.61,-22.45,United Kingdom,Online
T000024,C0001,P005,2024-06-03,6,10.01,60.06,United Kingdom,In-Store
T000025,C0001,P004,2024-07-29,9,6.88,61.93,United Kingdom,Partner
T000026,C0001,P003,2024-08-16,4,7.92,31.69,United Kingdom,Mobile
T000027,C0001,P013,2024-06-18,5,20.27,101.37,United Kingdom,Online
T000028,C0001,P020,2024-11-08,5,13.42,67.1,United Kingdom,Mobile
T000029,C0001,P014,2024-06-26,10,5.7,56.98,United Kingdom,Mobile
T000030,C0001,P004,2024-12-20,9,6.65,59.85,United Kingdom,Mobile
T000031,C0002,P009,2024-12-02,4,7.31,29.24,France,In-Store
T000032,C0002,P001,2024-07-19,7,4.37,30.57,France,Partner
T000033,C0002,P010,2024-08-01,3,6.16,18.48,France,Partner
T000034,C0002,P013,2024-06-19,4,19.47,77.89,France,Online
T000035,C0002,P012,2024-10-24,8,8.67,69.35,France,Partner
T000036,C0002,P012,2024-12-15,5,9.24,46.18,France,Online
T000037,C0002,P001,2024-06-16,4,4.28,17.12,France,Partner
T000038,C0002,P017,2024-09-15,7,32.41,226.88,France,Partner
T000039,C0002,P013,2024-07-10,4,20.27,81.08,France,In-Store
T000040,C0002,P003,2024-12-24,7,7.9,55.32,France,Mobile
T000041,C0002,P018,2024-12-31,8,7.17,57.37,France,Online
T000042,C0002,P010,2024-06-15,9,6.13,55.15,France,Mobile
T000043,C0002,P003,2024-06-15,9,7.93,71.4,France,In-Store
T000044,C0002,P006,2024-06-03,4,11.89,47.56,France,Mobile
T000045,C0002,P016,2024-12-02,8,11.03,88.2,France,In-Store
T000046,C0002,P006,2024-08-08,8,12.03,96.27,France,Online
T000047,C0002,P001,2024-06-17,8,4.64,37.11,France,In-Store
T000048,C0002,P019,2024-06-15,4,15.98,63.94,France,Partner
T000049,C0002,P019,2024-06-27,5,15.78,78.89,France,Online
T000050,C0002,P008,2024-08-02,3,21.0,62.99,France,Online
T000051,C0002,P016,2024-06-10,8,10.87,86.97,France,Partner
T000052,C0002,P008,2024-08-21,8,21.45,171.57,France,In-Store
T000053,C0003,P019,2024-06-14,8,15.38,123.05,United Kingdom,Mobile
T000054,C0003,P008,2024-09-28,3,23.0,69.0,United Kingdom,In-Store
T000055,C0003,P010,2024-09-03,8,5.74,45.94,United Kingdom,Mobile
T000056,C0003,P010,2024-09-03,7,6.13,42.93,United Kingdom,Partner
T000057,C0003,P007,2024-06-07,6,13.51,81.06,United Kingdom,Mobile
